Stock,Year,Length,CatchNo
Bm,2024,20,2
Bm,2024,30,2
Bm,2024,40,9
Bm,2024,50,88
Bm,2024,60,235
Bm,2024,70,243
Bm,2024,80,318
Bm,2024,90,225
Bm,2024,100,141
Bm,2024,110,92
Bm,2024,120,84
Bm,2024,130,37
Bm,2024,140,18
Bm,2024,150,3
Bm,2024,160,3
